time	value
8.973779021786869e-001	-1.517663e+001
9.074067670667352e-001	4.278463e+001
9.132534538883786e-001	7.247907e+001
9.169459383490594e-001	8.666073e+001
9.195162895327277e-001	9.367676e+001
9.213969353130868e-001	9.716166e+001
9.229858534213644e-001	9.896284e+001
9.245137098727471e-001	9.968140e+001
9.263192074315239e-001	9.924426e+001
9.286471410984081e-001	9.655088e+001
9.324187039490113e-001	8.740233e+001
9.384130374693442e-001	6.332361e+001
9.473779021786865e-001	1.517663e+001
9.574067670667350e-001	-4.278463e+001
9.632534538883786e-001	-7.247907e+001
9.669459383490593e-001	-8.666073e+001
9.695162895327276e-001	-9.367676e+001
9.713969353130867e-001	-9.716166e+001
9.729858534213643e-001	-9.896284e+001
9.745137098727471e-001	-9.968140e+001
9.763192074315239e-001	-9.924426e+001
9.786471410984081e-001	-9.655088e+001
9.824187039490113e-001	-8.740233e+001
9.884130374693443e-001	-6.332361e+001
9.973779021786866e-001	-1.572927e+001
1.000000000000000e+000	-2.449293e-013
